media_id,post_id,location,insert_timestamp
17,2,chair.jpg,2/24/2022 19:22
19,1,table1.png,2/24/2022 20:18
21,20,jacket.png,3/9/2022 19:19
23,17,winterjacket.png,3/22/2022 19:19
25,9,Csbook.png,3/9/2022 19:19
27,12,pv.png,4/17/2022 19:19
29,18,tvstand.png,4/30/2022 19:19
31,5,dental.png,5/13/2022 19:19
33,7,watch.png,5/26/2022 19:19
35,13,desk.png,6/8/2022 19:19
37,16,lawbook.png,6/21/2022 19:19
39,3,springgarden.png,7/4/2022 19:19
41,19,bayers.png,7/17/2022 19:19
43,4,tv.png,7/30/2022 19:19
45,6,harbourview.png,8/12/2022 19:19
47,14,iphone.png,8/25/2022 19:19
49,8,women.png,9/7/2022 19:19
51,10,mens.png,9/20/2022 19:19
53,11,airpods.png,10/3/2022 19:19
55,15,medicalbook.png,10/16/2022 19:19
